Name,Park,Track,Speed,Height,Drop,Length,Duration,Inversions
Zombie Ride,Bosque Megico,Steel,62,15,,863,,Yes
Yamaha Racing Coaster,Trans Studio Indoor Theme Park,Steel,62.1,164.1,,92.3,,Yes
Xcelerator,Knott's Berry Farm,Steel,82,25,13,222,62,No
X,Six Flags Magic Mountain,Steel,76,175,215,361,,Yes
Wodan Timbur Coaster,Europa Park,Wood,62.1,131.3,,3444.9,25,No
Wildfire,Silver Dollar City,Steel,66,12,155,373,136,Yes
Wild West Express,Glenwood Caverns Adventure Park,Steel,16.2,1.8,,197.5,,No
Wild Thing,Valleyfair!,Steel,74,27,196,546,18,No
Wild One,Six Flags America,Wood,53,98,88,4,15,No
Wild Mouse,Funtown Splashtown U.S.A.,Steel,28,49.3,,1213.9,7,No
Wild Beast,Paramount Canada's Wonderland,Wood,56,82,78,315,15,No
Wicked Cyclone,Six Flags New England,Steel,55,19,,332,,Yes
Whizzer,Six Flags Great America,Steel,42,7,64,31,12,No
Wang Zhong Wang,Tianjin Shuishang Park,Steel,49.7,18.3,95.2,2624.7,13,Yes
Volcano-The Blast Coaster,Paramount's Kings Dominion,Steel,7,155,8,2757,,Yes
Viper,Six Flags Magic Mountain,Steel,7,188,171,383,15,Yes
Vertigo,Zoomarine,Steel,47.9,8.4,,1942.3,9,Yes
Vertigo,Parque de Atracciones de Madrid,Steel,28,45.9,,1213.9,85,No
Velikoluksky Miasokombinat,Wonder Island,Steel,62.1,124.7,,3464.6,15,Yes
Veil of Dark,Tokyo Joypolis,Steel,23.6,16.4,,984.3,,Yes
Untamed,Canobie Lake Park,Steel,43.5,72.2,,1184.4,,Yes
Ukko,LinnanmSki,Steel,65.3,151.6,,492.2,6,Yes
Twister,Euro Park,Steel,46.6,15,,2585.3,16,Yes
Twisted Colossus,Six Flags Magic Mountain,Steel,57,121,128,499,22,Yes
Twisted Coaster,HotZone,Steel,17.4,26.3,,574.2,,No
Twist Coaster Robin,Yomiuriland,Steel,38.5,62.3,,126.9,,Yes
Tuff-Tuff TCeget,Grsna Lund,Steel,4.5,8,,262.5,,No
